variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Falling asleep paralyzed,2,3,Moderate,Severe,3520,2783,4950647.0,0.010732164439943815,0.010732164439943815,-0.006072407453532812,0.025166442769411688,"[-0.006072407453532812, 0.025166442769411688]",0.2070008838971178,0.2070008838971178
Falling asleep jerk,0,1,Normal,Mild,6669,6827,23908256.5,0.05023692125216259,0.05023692125216259,0.03253841655640242,0.06263155412816589,"[0.03253841655640242, 0.06263155412816589]",5.032015324132485e-08,1.5096045972397457e-07
Falling asleep jerk,1,2,Mild,Moderate,6827,3511,12457487.5,0.039440713166767054,0.039440713166767054,0.020409254273236217,0.05784089632378879,"[0.020409254273236217, 0.05784089632378879]",0.00032182208589447825,0.0006436441717889565
Falling asleep jerk,2,3,Moderate,Severe,3511,2779,4795523.0,-0.017015663207875235,-0.017015663207875235,-0.04127327837898861,0.00387684047330197,"[-0.04127327837898861, 0.00387684047330197]",0.2005646266545017,0.2005646266545017
Anxiety questionnaire,0,1,Normal,Mild,6645,6832,22746692.0,0.0020869347628034675,0.0020869347628034675,-0.014903619359522663,0.019106856504952564,"[-0.014903619359522663, 0.019106856504952564]",0.8232553978298445,1.0
Anxiety questionnaire,1,2,Mild,Moderate,6832,3521,12179884.5,0.012649803753590866,0.012649803753590866,-0.010494769131946361,0.030708299966011883,"[-0.010494769131946361, 0.030708299966011883]",0.2605996426928331,0.7817989280784993
Anxiety questionnaire,2,3,Moderate,Severe,3521,2787,4880136.5,-0.005375915097349676,-0.005375915097349676,-0.032904441718136515,0.02095444402629279,"[-0.032904441718136515, 0.02095444402629279]",0.6952703692558961,1.0
Falling asleep dream,0,1,Normal,Mild,6647,6826,23749815.0,0.04688328077350599,0.04688328077350599,0.03409559280304675,0.061877431295159865,"[0.03409559280304675, 0.061877431295159865]",6.765757950206271e-10,2.0297273850618814e-09
Falling asleep dream,1,2,Mild,Moderate,6826,3499,12160634.0,0.01830057007623542,0.01830057007623542,0.0026893676540792246,0.03579523516283208,"[0.0026893676540792246, 0.03579523516283208]",0.037044192245820354,0.07408838449164071
Falling asleep dream,2,3,Moderate,Severe,3499,2773,4778330.0,-0.015054221354470758,-0.015054221354470758,-0.03460914648015965,0.0032813610029427762,"[-0.03460914648015965, 0.0032813610029427762]",0.1575621593171045,0.1575621593171045
Falling asleep discomfort,0,1,Normal,Mild,6654,6852,22455822.0,-0.014948805532613543,-0.014948805532613543,-0.03610375091395192,0.002346946610995216,"[-0.03610375091395192, 0.002346946610995216]",0.11740230025616047,0.23480460051232094
Falling asleep discomfort,1,2,Mild,Moderate,6852,3507,12171243.0,0.013005512617497056,0.013005512617497056,-0.004404145174749325,0.03256651778587766,"[-0.004404145174749325, 0.03256651778587766]",0.25950874442732275,0.25950874442732275
Falling asleep discomfort,2,3,Moderate,Severe,3507,2784,5120246.5,0.04885600310053129,0.04885600310053129,0.020549792246377523,0.073602789290057,"[0.020549792246377523, 0.073602789290057]",0.0004960998526036173,0.001488299557810852
Sleep someone room,0,1,Normal,Mild,10462,9554,47295413.0,-0.053655929628712615,-0.053655929628712615,-0.0685552125464819,-0.039428375305395655,"[-0.0685552125464819, -0.039428375305395655]",5.323075526710044e-13,1.5969226580130132e-12
Sleep someone room,1,2,Mild,Moderate,9554,4840,23210129.5,0.003868809221874097,0.003868809221874097,-0.015340341957935493,0.02127759001897868,"[-0.015340341957935493, 0.02127759001897868]",0.6787654879372246,0.6787654879372246
Sleep someone room,2,3,Moderate,Severe,4840,3889,9671874.5,0.02767867199071762,0.02767867199071762,0.0011488073481253547,0.048002891180676945,"[0.0011488073481253547, 0.048002891180676945]",0.014680071092685357,0.029360142185370714
Sleep gaps,0,1,Normal,Mild,10462,9554,47438277.5,-0.05079732318327236,-0.05079732318327236,-0.06334212331462885,-0.0389445797578701,"[-0.06334212331462885, -0.0389445797578701]",3.168383210935182e-15,9.505149632805545e-15
Sleep gaps,1,2,Mild,Moderate,9554,4840,22758192.5,-0.01567806396697675,-0.01567806396697675,-0.02943873136516746,-0.0015308859860523145,"[-0.02943873136516746, -0.0015308859860523145]",0.05928929195007883,0.05928929195007883
Sleep gaps,2,3,Moderate,Severe,4840,3889,9092936.0,-0.03383605804887275,-0.03383605804887275,-0.05278690266464642,-0.0135270690908241,"[-0.05278690266464642, -0.0135270690908241]",0.001081786357967397,0.002163572715934794
Sleep someone bed,0,1,Normal,Mild,10462,9554,46874565.0,-0.062076767593011936,-0.062076767593011936,-0.07606034731114374,-0.0468105774571306,"[-0.07606034731114374, -0.0468105774571306]",6.158679215686857e-17,1.8476037647060572e-16
Sleep someone bed,1,2,Mild,Moderate,9554,4840,23174278.5,0.0023182060389227307,0.0023182060389227307,-0.014653004907295115,0.01682982237114133,"[-0.014653004907295115, 0.01682982237114133]",0.8039109175878565,0.8039109175878565
Sleep someone bed,2,3,Moderate,Severe,4840,3889,9727241.0,0.033561603080525915,0.033561603080525915,0.009577417180052235,0.05122992191368322,"[0.009577417180052235, 0.05122992191368322]",0.003050728040599781,0.006101456081199562
Sleep choke,0,1,Normal,Mild,10462,9554,48071978.5,-0.038117463854454255,-0.038117463854454255,-0.04743117575505872,-0.02693382256396717,"[-0.04743117575505872, -0.02693382256396717]",6.053111889839263e-11,1.8159335669517788e-10
Sleep choke,1,2,Mild,Moderate,9554,4840,22850306.5,-0.011694011594814686,-0.011694011594814686,-0.02922302566360505,0.0022750141864339587,"[-0.02922302566360505, 0.0022750141864339587]",0.12156862715928385,0.2431372543185677
Sleep choke,2,3,Moderate,Severe,4840,3889,9290076.0,-0.012889076841015876,-0.012889076841015876,-0.03242773509304693,0.0068584057279591215,"[-0.03242773509304693, 0.0068584057279591215]",0.16915735473582316,0.2431372543185677
Sleep special surface,0,1,Normal,Mild,10462,9554,48545774.0,-0.028637187997816754,-0.028637187997816754,-0.037675903256967895,-0.018123837389594662,"[-0.037675903256967895, -0.018123837389594662]",5.56142714372364e-10,1.668428143117092e-09
Sleep special surface,1,2,Mild,Moderate,9554,4840,23557948.0,0.018912419530913452,0.018912419530913452,0.009001273427079135,0.029285449757533073,"[0.009001273427079135, 0.029285449757533073]",0.0014132634958333255,0.002826526991666651
Sleep special surface,2,3,Moderate,Severe,4840,3889,9353957.5,-0.006101390019317039,-0.006101390019317039,-0.01686538663830384,0.004787990709120223,"[-0.01686538663830384, 0.004787990709120223]",0.382324467472246,0.382324467472246
Sleep breath problem,0,1,Normal,Mild,10462,9554,48597619.0,-0.027599810264623065,-0.027599810264623065,-0.0388126577551494,-0.018663859330498887,"[-0.0388126577551494, -0.018663859330498887]",3.1714694591310976e-07,9.514408377393292e-07
Sleep breath problem,1,2,Mild,Moderate,9554,4840,22934041.5,-0.008072362058555372,-0.008072362058555372,-0.019027126905437036,0.003413465239776677,"[-0.019027126905437036, 0.003413465239776677]",0.24741875558336357,0.408203324294661
Sleep breath problem,2,3,Moderate,Severe,4840,3889,9307652.0,-0.011021550505876927,-0.011021550505876927,-0.028129142591203415,0.00620288682424894,"[-0.028129142591203415, 0.00620288682424894]",0.2041016621473305,0.408203324294661
Sleep restless,0,1,Normal,Mild,10462,9554,47910908.0,-0.041340358061694574,-0.041340358061694574,-0.05473219627102673,-0.026670739158797415,"[-0.05473219627102673, -0.026670739158797415]",8.395518880414634e-08,2.5186556641243903e-07
Sleep restless,1,2,Mild,Moderate,9554,4840,23282088.5,0.006981131177802729,0.006981131177802729,-0.006786475354531096,0.01974659968910948,"[-0.006786475354531096, 0.01974659968910948]",0.4720024177653931,0.4720024177653931
Sleep restless,2,3,Moderate,Severe,4840,3889,9585719.0,0.01852427592977863,0.01852427592977863,-0.0036889422698902817,0.03832145232686386,"[-0.0036889422698902817, 0.03832145232686386]",0.11708812388105354,0.23417624776210708
Sleep sweat,0,1,Normal,Mild,10462,9554,49481549.0,-0.00991306516476968,-0.00991306516476968,-0.022572682671824027,0.0026324748072982453,"[-0.022572682671824027, 0.0026324748072982453]",0.14676893692837298,0.29353787385674596
Sleep sweat,1,2,Mild,Moderate,9554,4840,23099225.0,-0.0009279571362087966,-0.0009279571362087966,-0.01877892053780425,0.01437754858421119,"[-0.01877892053780425, 0.01437754858421119]",0.9138164362693806,0.9138164362693806
Sleep sweat,2,3,Moderate,Severe,4840,3889,9597152.0,0.019739081834970005,0.019739081834970005,0.0007449027135234154,0.03835206287494501,"[0.0007449027135234154, 0.03835206287494501]",0.057409607801828307,0.17222882340548493
Sleep disturb partner,0,1,Normal,Mild,10462,9554,47237476.0,-0.054815203497514675,-0.054815203497514675,-0.06933753157003864,-0.03984663142070186,"[-0.06933753157003864, -0.03984663142070186]",3.612988608911141e-15,1.0838965826733421e-14
